"View Credit Memo","Visa kreditnota"
"Onder deze afstand vallende digitale items","Digitala artiklar som omfattas av detta avstående"
"Uw uitdrukkelijke toestemming","Ditt uttryckliga samtycke"
"Toestemming verleend op:","Samtycke lämnat den:"
"Uw erkenning van verlies van herroepingsrecht","Din bekräftelse av förlorad ångerrätt"
"Erkend op:","Bekräftat den:"
"Afstandreferentie:","Referens för avstående:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Rättslig grund: art. 6:230s i den nederländska civillagen / art. 16(m) direktiv 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Sändning av kvitto misslyckades — begäran #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Kvittensmejlet för ångerbegäran #%request_id har misslyckats att skickas permanent."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Granska kolumnen <code>mm_eu_withdrawal_request.receipt_last_error</code> för senaste felmeddelande och kolumnen <code>mm_eu_withdrawal_request.receipt_send_attempts</code> för antal försök."
"You can requeue the send from the admin grid after resolving the underlying issue.","Du kan köa om sändningen från adminlistan när du har åtgärdat det underliggande problemet."
"Your refund is on its way — Withdrawal #%1","Din återbetalning är på väg — Ångerärende #%1"
"Your refund is on its way","Din återbetalning är på väg"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hej %name, vi har godkänt ditt ångerärende och påbörjat återbetalningen."
"View refund details","Visa återbetalningsdetaljer"
"Withdrawal number","Ångernummer"
"Approved on","Godkänd den"
"Estimated arrival","Beräknad ankomst"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Din återbetalning görs till din ursprungliga betalningsmetod inom 5–7 bankdagar. Du ser den på ditt kort- eller kontoutdrag så snart den kommit fram."
"Need help?","Behöver du hjälp?"
"Reply to this email or contact us at","Svara på detta mejl eller kontakta oss på"
"Your withdrawal was cancelled — Withdrawal #%1","Ditt ångerärende avbröts — Ångerärende #%1"
"Your withdrawal was cancelled","Ditt ångerärende avbröts"
"Hi %name, we've cancelled your withdrawal request.","Hej %name, vi har avbrutit ditt ångerärende."
"Submit a new request","Skicka in en ny begäran"
"Cancelled request","Avbruten begäran"
"Cancelled on","Avbruten den"
"Refund requested","Återbetalning begärd"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Om det här var oväntat kan du skicka in ett nytt ångerärende så länge din 14-dagarsfrist fortfarande gäller. Hör av dig om du behöver hjälp — vi förklarar gärna."
"Cancellation confirmed — Withdrawal #%1","Avbokning bekräftad — Ångerärende #%1"
"Cancellation confirmed","Avbrytande bekräftat"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hej %name, ditt ångerärende har avbrutits som du önskade."
"Back to my orders","Tillbaka till mina ordrar"
"Cancelled by","Avbruten av"
"You","Du"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Din order är fortfarande aktiv och du behöver inte göra något mer. Om du ändrar dig kan du när som helst skicka in ett nytt ångerärende inom din 14-dagarsfrist."
"Update on your withdrawal request — Withdrawal #%1","Uppdatering av ditt ångerärende — Ångerärende #%1"
"We can't process this withdrawal","Vi kan inte godkänna ångerärendet"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hej %name, efter att ha granskat ditt ångerärende kan vi tyvärr inte godkänna det."
"Request details","Detaljer för begäran"
"Reviewed on","Granskad den"
"Decision","Beslut"
"Reason from our team","Skäl från vårt team"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Vill du diskutera beslutet finns vårt team här för dig. Svara på det här mejlet eller använd knappen ovan."
"Your withdrawal request has been submitted — Order #%1","Ditt ångerärende har skickats in — Order #%1"
"Your return request has been submitted","Din returbegäran har skickats in"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Hej %name, vi har tagit emot din returbegäran och granskar den just nu. Du hör från oss när vi har inspekterat returen och behandlat återbetalningen."
"Return number","Returnummer"
"Requested on","Begärd den"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Vi inspekterar din retur och meddelar dig när den är godkänd. Återbetalningar görs till din ursprungliga betalningsmetod inom 5–7 bankdagar efter godkännande."
"If you have any questions, our customer service team is here to help.","Om du har några frågor finns vår kundtjänst här för dig."
"Visit our help center","Besök vårt hjälpcenter"
"If you did not initiate this request, contact us immediately at","Om det inte var du som skickade in begäran, kontakta oss omedelbart på"
"Withdrawal receipt — Order #%1","Ångerintyg — Order #%1"
"Withdrawal receipt","Ångerkvitto"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Hej %name, det här mejlet är ditt ångerbevis i varaktig form enligt Art. 11a direktiv 2011/83/EU. Spara det för din dokumentation."
"Submitted on","Inskickat den"
"Your %store_name order confirmation","Din orderbekräftelse från %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Tack för din beställning från %store_name."
"Once your package ships we will send you a tracking number.","När ditt paket skickas mejlar vi dig ett spårningsnummer."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Du kan kontrollera status för din order genom att <a href=""%account_url"">logga in på ditt konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Om du har frågor om din order kan du mejla oss på <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","eller ringa oss på <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Våra öppettider är <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Din order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Lagd den <span class=""no-link"">%created_at</span>"
"Billing Info","Faktureringsuppgifter"
"Shipping Info","Leveransuppgifter"
"Payment Method","Betalningsmetod"
"Shipping Method","Leveransmetod"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","När ditt paket skickas mejlar vi dig en länk för att spåra din order."
"Your %store_name order has shipped","Din order från %store_name har skickats"
"Your shipping confirmation is below. Thank you again for your business.","Din leveransbekräftelse finns nedan. Tack än en gång för din beställning."
"Your Shipment #%shipment_id for Order #%order_id","Din leverans #%shipment_id för order #%order_id"
"Your digital content waiver is on file","Ditt avstående för digitalt innehåll är registrerat"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Hej %name, du har samtyckt till omedelbar digital leverans av artiklarna nedan — det här är din kopia av samtycket i varaktig form (Art. 11a(4) CRD)."
"View order","Visa order"
"Consented at","Samtyckt den"
"Acknowledged at","Bekräftad den"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Spara det här mejlet som din dokumentation i varaktig form. Säljaren har sparat SHA-256-hashen av den juridiska texten som du godkände:"
"Digital content waiver","Avstående för digitalt innehåll"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Vi behöver ditt uttryckliga samtycke innan du kan köpa denna digitala vara — läs båda punkterna noggrant."
"We log this consent with your IP and timestamp for our audit record.","Vi loggar detta samtycke med din IP-adress och tidsstämpel för vår granskningslogg."
"Continue","Fortsätt"
"Waiver could not be saved. Please retry.","Samtycket kunde inte sparas. Försök igen."
"Enable for EU Withdrawal Lookup Form","Aktivera för sökformuläret EU-ångerrätt"
"MageMe Extensions","MageMe-tillägg"
"EU Withdrawal","EU-ångerrätt"
"General","Allmänt"
"Enable Module","Aktivera modul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktiverar butikssidan och cron-jobb. Standard: inaktiverad. Slutför den manuella konfigurationschecklistan innan du aktiverar."
"Request Number Prefix","Prefix för begärannummer"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Frivilligt prefix som läggs framför ångerbegärans löpnummer i kundgränssnittet (t.ex. ""RR-"" renderas som ""RR-000000022""). Lämna tomt för att visa enbart det utfyllda numret."
"Default Contract Type","Standardavtalstyp"
"Frontend Route","Butikssidans rutt"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL-prefix som används av det kundvända ångerflödet (t.ex. <code>withdraw-contract</code> renderas som <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Ångerfrist"
"Delivery Confirmation Statuses","Statusar för leveransbekräftelse"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Välj en eller flera orderstatusar vars <em>övergång</em> innebär att kunden tagit emot varorna i ditt orderflöde. 14-dagars ångerfrist börjar löpa från tidsstämpeln för orderns <em>första</em> övergång till <em>någon</em> av de valda statusarna (art. 9(2)(b) direktiv 2011/83/EU). Flerval stöder handlare som använder flera ""levererad""-statusar (t.ex. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Tills ordern når någon av dem är ångerrätten öppen utan fast frist."
"Eligibility Rules (Art. 16 CRD Presets)","Behörighetsregler (förinställningar enligt art. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Art. 16(c) Specialtillverkade varor"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Utesluter produkter som tillverkats efter kundens specifikationer eller är klart personliga (t.ex. graverade smycken, måttsydda kläder). <strong>Kräver</strong> produktattributet <code>is_custom_made = true</code>. När aktiverat kan ordrar med sådana artiklar inte återkallas — kunder ser detta när de försöker starta ett ångerärende."
"Art. 16(d) Perishable Goods","Art. 16(d) Lättfördärvliga varor"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Utesluter varor som snabbt kan försämras eller bli förbrukade (färska livsmedel, snittblommor, läkemedel med kort hållbarhet). <strong>Kräver</strong> produktattributet <code>is_perishable = true</code>. Aktivera inte för alla kategorier — använd endast för verkligt lättfördärvliga SKU:er, annars avslår du olagligt giltiga ångerärenden."
"Art. 16(e) Sealed Hygiene / Health","Art. 16(e) Förseglade hygien-/hälsovaror"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Utesluter förseglade hygien- eller hälsoartiklar <strong>endast om förseglingen har brutits efter leverans</strong> (kosmetika, intimkläder, förseglade medicinska tillbehör). <strong>Kräver</strong> produktattributet <code>is_sealed_hygiene = true</code>. Uteslutningen baseras på en förseglingskontroll vid ångerärendet (flöde i fas 04) — en förseglad, oöppnad retur är fortsatt berättigad."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16(i) Förseglat ljud/video/programvara"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Utesluter förseglade ljudinspelningar, videoinspelningar eller förseglad datorprogramvara <strong>endast om förseglingen har brutits efter leverans</strong>. <strong>Kräver</strong> produktattributet <code>is_sealed_av = true</code>. Samma förseglingslogik som art. 16(e). Gäller inte strömmande innehåll eller digitala nedladdningar — använd art. 16(m) för dem."
"Digital Content (Art. 16(m))","Digitalt innehåll (art. 16(m))"
"Detection","Identifiering"
"Enable Digital Content Detection","Aktivera identifiering av digitalt innehåll"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Huvudbrytare för identifiering av digitalt innehåll enligt art. 16(m). När den är av identifieras ingen produkt som digital, avståendesteget i kassan krävs inte och förinställningen tillåter alltid ångerrätt."
"Detection Strategies","Identifieringsstrategier"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Vilka produkttypsheuristiker som utlöser avståendegrinden för digitalt innehåll. Nedladdningsbar + virtuell är säkra standardval; bundle_contains_digital inspekterar paketets underartiklar; custom_attribute läser EAV-flaggan som konfigureras nedan."
"Custom Attribute Code","Kod för anpassat attribut"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV-attributkod som används <strong>endast</strong> när <em>Flagga för anpassat attribut</em> är vald i <em>Identifieringsstrategier</em> ovan. Standard: <code>is_digital_content</code> (booleskt attribut, 1 = digital). Ignoreras annars."
"Checkout Step + Email","Kassasteg + mejl"
"Enable Checkout Waiver Step","Aktivera avståendesteg i kassan"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","När aktiverat renderas avståendesteget med två kryssrutor i kassan för varukorgar som innehåller en identifierad digital artikel. Har ingen effekt om inte <em>Identifiering → Aktivera identifiering av digitalt innehåll</em> också är på."
"Merchant BCC Address for Confirmation Emails","Handlarens hemliga kopia-adress för bekräftelsemejl"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Frivilligt. Skickar en hemlig kopia av bekräftelsemejlet för avståendet till en gransknings-e-postadress hos handlaren. Lämna tomt för att hoppa över."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Markera enbart virtuella artiklar som prestationsstartade vid bekräftelse"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuella produkter har ingen nedladdningstrigger. När aktiverat räknas utskicket av bekräftelsemejlet för avståendet som prestationsstart för enbart virtuella artiklar (I-6-gränsen)."
"Confirmation Email Identity","Avsändaridentitet för bekräftelsemejl"
"Per-Locale Waiver Text Overrides","Åsidosättningar av avståendetext per språk"
"English (en_US)","Engelska (en_US)"
"Consent Text","Samtyckestext"
"Right-Loss Acknowledgment Text","Bekräftelsetext för förlorad rätt"
"German (de_DE)","Tyska (de_DE)"
"Finnish (fi_FI)","Finska (fi_FI)"
"Dutch (nl_NL)","Nederländska (nl_NL)"
"French (fr_FR)","Franska (fr_FR)"
"Italian (it_IT)","Italienska (it_IT)"
"Spanish (es_ES)","Spanska (es_ES)"
"Polish (pl_PL)","Polska (pl_PL)"
"Portuguese (pt_PT)","Portugisiska (pt_PT)"
"Danish (da_DK)","Danska (da_DK)"
"Swedish (sv_SE)","Svenska (sv_SE)"
"German — Austria (de_AT)","Tyska — Österrike (de_AT)"
"Swedish — Finland (sv_FI)","Svenska — Finland (sv_FI)"
"Dutch — Belgium (nl_BE)","Nederländska — Belgien (nl_BE)"
"French — Belgium (fr_BE)","Franska — Belgien (fr_BE)"
"German — Belgium (de_BE)","Tyska — Belgien (de_BE)"
"French — Luxembourg (fr_LU)","Franska — Luxemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Information före avtalsslut (art. 6(1)(h))"
"Enable Pre-Contract Disclosure","Aktivera information före avtalsslut"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Huvudbrytare. Inaktiverad = blocket renderas inte och inga visningshändelser registreras. Att inaktivera utsätter handlaren för art. 10 (förlängd ångerfrist på 12 månader + 14 dagar). Standard: aktiverad."
"Withdrawal Period (Days)","Ångerfrist (dagar)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Standard 14 dagar enligt art. 9(2). Förlängning är tillåten (t.ex. 30, 100). Förkortning under 14 är olaglig — fältet validerar >=14 endast när modulen är aktiverad."
"Return Address","Returadress"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Dit konsumenter skickar tillbaka varor. Lämna tomt för att återgå till adressen i Butiker → Konfiguration → Allmänt → Allmänt → Butiksinformation."
"Display In Checkout","Visa i kassan"
"Annex I Overrides Per Locale","Åsidosättningar av bilaga I per språk"
"Bulgarian (bg_BG)","Bulgariska (bg_BG)"
"Czech (cs_CZ)","Tjeckiska (cs_CZ)"
"Greek (el_GR)","Grekiska (el_GR)"
"Estonian (et_EE)","Estniska (et_EE)"
"Croatian (hr_HR)","Kroatiska (hr_HR)"
"Hungarian (hu_HU)","Ungerska (hu_HU)"
"Lithuanian (lt_LT)","Litauiska (lt_LT)"
"Latvian (lv_LV)","Lettiska (lv_LV)"
"Romanian (ro_RO)","Rumänska (ro_RO)"
"Slovak (sk_SK)","Slovakiska (sk_SK)"
"Slovenian (sl_SI)","Slovenska (sl_SI)"
"Frontend","Butikssida"
"Buttons","Knappar"
"Step 1 Button Label","Knappetikett för steg 1"
"Step 2 Button Label (Confirmation)","Knappetikett för steg 2 (bekräftelse)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridisk varning.</strong> Detta är etiketten på den slutliga bekräftelseknappen. Standard (""Confirm withdrawal"") är juristgodkänd. Per-locale translations are counsel-signed. Åsidosätt endast med skriftlig juridisk rådgivning; åsidosättanden granskningsloggas."
"Placements","Placeringar"
"Show Footer Link","Visa länk i sidfoten"
"Show in My Account","Visa i Mitt konto"
"Return Reasons","Returorsaker"
"Reasons","Skäl"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Lista över skäl som erbjuds kunden i rullgardinsmenyn per artikel. <strong>Kod</strong> är maskinvärdet som sparas i databasen (gemener, snake_case, max 32 tecken); <strong>Etikett</strong> är den synliga texten. Tom lista döljer rullgardinen helt."
"Enable ""Other"" with Free Text","Aktivera ""Annat"" med fritextfält"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","När aktiverat visas alternativet ""Annat"" i rullgardinen som öppnar ett fritextfält (max 500 tecken)."
"Review Step","Granskningssteg"
"Return Shipping Notice","Information om returfrakt"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Text som visas på Granska & bekräfta-steget (steg 3). Exempel: ""Du får en förbetald fraktetikett i bekräftelsemejlet."" eller ""Returfraktkostnader betalas av kunden."" Lämna tomt för att dölja raden."
"Return Policy URL","URL för returvillkor"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Frivillig länk som visas bredvid fraktinformationen (""Se returvillkor""). Godtar absoluta URL:er eller relativa sökvägar som ""return-policy""."
"Customer Notifications","Kundmeddelanden"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Alla kundmejl som skickas av modulen. Varje mejl kan aktiveras/inaktiveras, tilldelas en anpassad mall (Marknadsföring → E-postmallar) och få en hemlig kopia till en handlaradress. Den delade undergruppen <em>Varumärkesprofil</em> längst ned styr layouten (USP-list, sociala länkar) som används av varje mejl nedan."
"1. Submission Confirmation Email","1. Bekräftelsemejl vid inskickad begäran"
"Enabled","Aktiverad"
"Email Template","Mejlmall"
"BCC Merchant","Hemlig kopia till handlaren"
"Comma-separated. Leave blank to disable.","Kommaseparerad. Lämna tomt för att inaktivera."
"2. Approval Email","2. Godkännandemejl"
"3. Denial Email","3. Avslagsmejl"
"4. Cancellation Email (Admin-Initiated)","4. Annulleringsmejl (initierat av administratör)"
"5. Cancellation Email (Customer Self-Cancel)","5. Annulleringsmejl (kundens egen annullering)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Kvittensmejl (varaktigt medium — art. 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Lagstadgat krav på bekräftelse i varaktig form. Kan inte inaktiveras helt (art. 11a(4) direktiv 2011/83/EU). Att inaktivera här stoppar endast utskicket — kvittot genereras och lagras ändå."
"Send Email","Skicka mejl"
"Comma-separated.","Kommaseparerad."
"Delivery Retry Attempts","Antal återförsök för leverans"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Mottagare av DLQ-larm"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Aviseras när ett kvitto misslyckas permanent. Faller tillbaka till Butikens e-postadresser → Allmän kontakt."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Bekräftelsemejl för digitalt avstående (art. 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kopia i varaktig form av kundens avstående enligt art. 16(m), skickas direkt efter kassan när en digital artikel finns i varukorgen. Krävs enligt art. 11a(4) direktiv 2011/83/EU — bevarar ett manipulationssäkrat underlag av den juridiska texten som kunden godkände, samt SHA-256-hashen för verifiering via hashkedja."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Kommaseparerad. Får en kopia av varje bekräftelse för granskning."
"Branding (Shared by All Emails Above)","Varumärkesprofil (delas av alla mejl ovan)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Frivillig dekoration av kundmejlen. Tomma fält döljer sina respektive rader. Varumärkesnamn, logotyp, supportmejl och butiksadress läses från Magentos standardkonfiguration (Butiker → Konfiguration → Allmänt + Design → Transaktionsmejl)."
"USP Strip — Item 1","USP-list — punkt 1"
"Icon","Ikon"
"Title","Rubrik"
"Subtitle","Underrubrik"
"USP Strip — Item 2","USP-list — punkt 2"
"USP Strip — Item 3","USP-list — punkt 3"
"Social Links","Sociala länkar"
"Instagram URL","Instagram-URL"
"X / Twitter URL","X-/Twitter-URL"
"Facebook URL","Facebook-URL"
"YouTube URL","YouTube-URL"
"Order #","Order nr"
"Contract","Avtal"
"Submitter","Inskickare"
"Withdrawal submitted","Ångerärende inskickat"
"Right of Withdrawal — Required Information","Ångerrätt — Obligatorisk information"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Innan du lägger din beställning, vänligen läs villkoren, fristen och förfarandena för att utöva din 14-dagars ångerrätt. Denna information utgör en del av ditt avtal."
"Conditions, Time Limit and Procedures for Withdrawal","Villkor, frist och förfaranden för ångerrätt"
"Start Online Return","Starta online-retur"
"Download Model Withdrawal Form (Annex I(B))","Ladda ner standardformulär för ångerrätt (Bilaga I(B))"
"Withdrawal Information v%1 — Issued %2","Ångerinformation v%1 — utfärdad %2"
"You'll receive a prepaid shipping label in the confirmation email.","Du får en förbetald fraktetikett i bekräftelsemejlet."
"← Back to order search","← Tillbaka till ordersökning"
"← Back to items","← Tillbaka till artiklar"
"Find order","Hitta order"
"Enter your order number and email","Ange ordernummer och e-postadress"
"Select items","Välj artiklar"
"Choose items to return (partial withdrawal)","Välj artiklar att returnera (partiell ångerrätt)"
"Review & confirm","Granska & bekräfta"
"Review your return details and confirm","Granska dina returdetaljer och bekräfta"
"Request submitted","Begäran skickad"
"We'll confirm your request by email","Vi bekräftar din begäran via e-post"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Jag samtycker uttryckligen till att påbörja leveransen av det digitala innehållet innan ångerfristen löper ut."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Jag är medveten om att jag genom detta samtycke förlorar min ångerrätt så snart leveransen har påbörjats (art. 16 m i konsumenträttighetsdirektivet)."
"Withdrawals","Ångerärenden"
"Minimum %1 characters required.","Minst %1 tecken krävs."
"Failed to add note.","Det gick inte att lägga till anteckning."
"Network error while adding note.","Nätverksfel vid tillägg av anteckning."
"Exported Evidence","Underlag exporterat"
"Pending Confirm","Väntar på bekräftelse"
"Sent","Skickad"
"Failed Permanent","Permanent misslyckad"
"Failed Retry","Misslyckad, försöker igen"
"Eligible","Berättigad"
"Excluded","Utesluten"
"Action","Åtgärd"
"From","Från"
"To","Till"
"Admin Id","Admin-ID"
"Order Id","Order-ID"
"Request Id","Begäran-ID"
"Item Count","Antal artiklar"
"Rules Fired","Tillämpade regler"
"Topic","Ämne"
"Message Id","Meddelande-ID"
"Email To Hash","E-posthash"
"Attempts","Försök"
"Viewed At","Visad"
"Referrer Host","Hänvisande värd"
"Enable \Other\"" with Free Text""","Aktivera \Annat\"" med fritextfält"""
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Frivillig rättslig mall — ingen skyldighet att använda den; ångerrätten kan även utövas genom en otvetydig förklaring."
"Right of withdrawal","Ångerrätt"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Du har 14 dagar från den dag du tar emot din order att ångra köpet utan att ange något skäl — full återbetalning till din ursprungliga betalningsmetod."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Vissa artiklar kan vara uteslutna i lag (lättfördärvliga varor, specialtillverkade artiklar, förseglade hygien- eller ljud-/videoprodukter). Vi visar exakt vad som är berättigat på nästa sida."
"Direct link — no login or account password required.","Direktlänk — ingen inloggning eller kontolösen krävs."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
